ticker,entry_time,entry_price,exit_time,exit_price,direction,sentiment,return_pct,trade_duration_min,exit_reason,market_session,day_of_week,pnl,transaction_fees,pnl_after_fees,return_pct_after_fees
MSFT,2025-04-11 12:06:00,383.99,2025-04-11 13:11:00,384.4,short,negative,-0.10677361389618692,65.0,max_holding_period,Midday,Friday,-0.40999999999996817,0.7683899999999999,-1.178389999999968,-0.30688038751008306
MSFT,2025-04-11 13:56:00,382.44,2025-04-11 14:56:00,383.0,short,negative,-0.1464281978872509,60.0,max_holding_period,Midday,Friday,-0.5600000000000023,0.76544,-1.3254400000000022,-0.34657462608513817
MSFT,2025-04-14 11:05:00,393.06,2025-04-14 12:16:00,391.41,short,negative,0.41978323920011634,71.0,max_holding_period,Morning,Monday,1.6499999999999773,0.78447,0.8655299999999773,0.22020302243931647
MSFT,2025-04-14 13:00:00,392.0,2025-04-14 13:35:00,391.65,short,negative,0.08928571428572009,35.0,conflict_flip,Midday,Monday,0.35000000000002274,0.78365,-0.4336499999999772,-0.11062499999999419
MSFT,2025-04-14 13:38:00,391.55,2025-04-14 14:38:00,392.0,long,positive,0.11492785084918622,60.0,max_holding_period,Midday,Monday,0.44999999999998863,0.78355,-0.33355000000001134,-0.08518707700166295
MSFT,2025-04-14 15:13:00,391.72,2025-04-14 16:13:00,392.72,short,negative,-0.25528438680690285,60.0,max_holding_period,Afternoon,Monday,-1.0,0.78444,-1.78444,-0.45553967119370975
MSFT,2025-04-15 12:33:00,389.2,2025-04-15 13:35:00,388.61,short,negative,0.15159301130523511,62.0,max_holding_period,Midday,Tuesday,0.589999999999975,0.77781,-0.187810000000025,-0.048255395683459656
MSFT,2025-04-15 15:33:00,388.705,2025-04-15 16:33:00,387.51,short,negative,0.3074310852703189,60.0,max_holding_period,Afternoon,Tuesday,1.1949999999999932,0.776215,0.4187849999999932,0.10773851635558923
MSFT,2025-04-16 12:41:00,383.03,2025-04-16 13:21:00,382.2,short,negative,0.2166932094091805,40.0,conflict_flip,Midday,Wednesday,0.8299999999999841,0.76523,0.06476999999998412,0.016909902618589656
MSFT,2025-04-16 13:21:00,382.2,2025-04-16 13:45:00,382.99,long,positive,0.20669806384092634,24.0,conflict_flip,Midday,Wednesday,0.7900000000000205,0.76519,0.024810000000020427,0.006491365777085423
MSFT,2025-04-16 13:45:00,382.99,2025-04-16 14:45:00,381.37,short,negative,0.4229875453667209,60.0,max_holding_period,Midday,Wednesday,1.6200000000000045,0.7643599999999999,0.8556400000000046,0.22341053291208765
MSFT,2025-04-21 10:00:00,363.9,2025-04-21 12:06:00,364.2,short,negative,-0.08244023083264945,126.0,max_holding_period,Morning,Monday,-0.30000000000001137,0.7281,-1.0281000000000113,-0.28252267106348206
MSFT,2025-04-21 15:03:00,364.1,2025-04-21 16:03:00,360.54,short,negative,0.9777533644603136,60.0,max_holding_period,Afternoon,Monday,3.5600000000000023,0.7246400000000001,2.8353600000000023,0.7787311178247739
MSFT,2025-04-23 11:08:00,374.51,2025-04-23 12:12:00,376.0,short,negative,-0.3978531948412617,64.0,max_holding_period,Morning,Wednesday,-1.490000000000009,0.75051,-2.2405100000000093,-0.598251048036103
MSFT,2025-04-23 13:05:00,377.1,2025-04-23 14:05:00,375.31,long,positive,-0.4746751524794538,60.0,max_holding_period,Midday,Wednesday,-1.7900000000000205,0.75241,-2.5424100000000207,-0.6742004773269743
MSFT,2025-04-23 15:28:00,376.83,2025-04-23 16:28:00,379.33,long,positive,0.6634291325000664,60.0,max_holding_period,Afternoon,Wednesday,2.5,0.7561599999999999,1.74384,0.46276570336756634
MSFT,2025-04-24 15:12:00,375.3202,2025-04-24 16:12:00,381.2101,long,positive,1.569300027016934,60.0,max_holding_period,Afternoon,Thursday,5.8899000000000115,0.7565303,5.133369700000012,1.367730726989917
MSFT,2025-04-25 13:38:00,386.43,2025-04-25 14:47:00,386.2,long,positive,-0.05951918846880889,69.0,max_holding_period,Midday,Friday,-0.2300000000000182,0.7726299999999999,-1.0026300000000181,-0.2594596692803401
MSFT,2025-04-28 13:49:00,391.25,2025-04-28 14:01:00,391.45,long,positive,0.051118210862616906,12.0,conflict_flip,Midday,Monday,0.19999999999998863,0.7827,-0.5827000000000113,-0.14893290734824566
MSFT,2025-04-28 14:03:00,391.36,2025-04-28 15:03:00,392.2,short,negative,-0.21463614063776956,60.0,max_holding_period,Afternoon,Monday,-0.839999999999975,0.78356,-1.623559999999975,-0.4148507767784073
MSFT,2025-04-29 11:59:00,392.77,2025-04-29 13:00:00,391.92,short,negative,0.21641164040022554,61.0,max_holding_period,Morning,Tuesday,0.8499999999999659,0.7846900000000001,0.06530999999996578,0.016628052040625757
MSFT,2025-04-29 15:49:00,393.595,2025-04-29 16:00:00,393.54,long,positive,-0.013973754747902491,11.0,conflict_flip,Afternoon,Tuesday,-0.05500000000000682,0.787135,-0.8421350000000069,-0.2139597809931546
MSFT,2025-04-29 16:02:00,393.38,2025-04-29 17:02:00,394.4,short,negative,-0.25929127052722095,60.0,max_holding_period,After-Hours,Tuesday,-1.0199999999999818,0.7877799999999999,-1.8077799999999817,-0.45955056179774817
MSFT,2025-04-30 11:37:00,394.86,2025-04-30 12:52:00,394.2,short,negative,0.16714784987084663,75.0,max_holding_period,Morning,Wednesday,0.660000000000025,0.7890600000000001,-0.12905999999997508,-0.03268500227928256
MSFT,2025-04-30 13:10:00,395.14,2025-04-30 14:10:00,393.4013,long,positive,-0.44002125828820027,60.0,max_holding_period,Midday,Wednesday,-1.7386999999999944,0.7885413,-2.5272412999999943,-0.6395812370299121
MSFT,2025-04-30 14:40:00,390.37,2025-04-30 15:40:00,385.98,long,positive,-1.1245741219868295,60.0,max_holding_period,Afternoon,Wednesday,-4.389999999999986,0.7763500000000001,-5.166349999999986,-1.3234495478648427
MSFT,2025-05-01 10:54:00,427.81,2025-05-01 11:01:00,427.75,short,negative,0.01402491760360961,7.0,conflict_flip,Morning,Thursday,0.060000000000002274,0.8555600000000001,-0.7955599999999978,-0.18596105747878683
MSFT,2025-05-01 11:03:00,427.85,2025-05-01 12:03:00,429.5,long,positive,0.38564917611311844,60.0,max_holding_period,Morning,Thursday,1.6499999999999773,0.8573500000000001,0.7926499999999772,0.1852635269370053
MSFT,2025-05-01 12:33:00,430.29,2025-05-01 13:33:00,430.19,long,positive,-0.02324014037045312,60.0,max_holding_period,Midday,Thursday,-0.10000000000002274,0.86048,-0.9604800000000228,-0.22321690023008267
MSFT,2025-05-01 13:52:00,431.78,2025-05-01 14:24:00,429.64,short,negative,0.49562277085552514,32.0,conflict_flip,Midday,Thursday,2.1399999999999864,0.8614200000000001,1.2785799999999863,0.29611839362638065
MSFT,2025-05-01 14:26:00,429.9,2025-05-01 15:08:00,429.67,long,positive,-0.05350081414281493,42.0,conflict_flip,Afternoon,Thursday,-0.22999999999996135,0.8595700000000001,-1.0895699999999615,-0.25344731332867215
MSFT,2025-05-01 15:10:00,429.6,2025-05-01 15:27:00,431.4,short,negative,-0.41899441340781063,17.0,conflict_flip,Afternoon,Thursday,-1.7999999999999545,0.861,-2.6609999999999543,-0.6194134078212185
MSFT,2025-05-01 15:29:00,431.5,2025-05-01 16:29:00,431.135,long,positive,-0.08458864426419678,60.0,max_holding_period,Afternoon,Thursday,-0.3650000000000091,0.862635,-1.2276350000000091,-0.28450405561993264
MSFT,2025-05-02 10:53:00,426.8,2025-05-02 11:56:00,426.25,short,negative,0.12886597938144595,63.0,max_holding_period,Morning,Friday,0.5500000000000114,0.8530500000000001,-0.3030499999999887,-0.07100515463917259
MSFT,2025-05-06 11:09:00,431.86,2025-05-06 12:15:00,432.92,short,negative,-0.24544991432408703,66.0,max_holding_period,Morning,Tuesday,-1.0600000000000023,0.8647800000000001,-1.9247800000000024,-0.4456953642384111
MSFT,2025-05-06 14:02:00,432.81,2025-05-06 15:00:00,433.45,short,negative,-0.14787089022896568,58.0,conflict_flip,Afternoon,Tuesday,-0.6399999999999864,0.86626,-1.5062599999999864,-0.34801876111919466
MSFT,2025-05-06 15:02:00,433.15,2025-05-06 15:01:00,433.3401,long,positive,0.04388779868406544,-1.0,conflict_flip,Afternoon,Tuesday,0.19010000000002947,0.8664901,-0.6763900999999706,-0.15615608911461865
MSFT,2025-05-06 15:04:00,433.3,2025-05-06 15:16:00,432.35,short,negative,0.21924763443341533,12.0,conflict_flip,Afternoon,Tuesday,0.9499999999999886,0.86565,0.0843499999999886,0.019466882067848718
MSFT,2025-05-06 15:18:00,432.55,2025-05-06 16:18:00,433.6699,long,positive,0.25890648479943884,60.0,max_holding_period,Afternoon,Tuesday,1.1198999999999728,0.8662199,0.25368009999997276,0.058647578314639376
MSFT,2025-05-07 10:00:00,435.79,2025-05-07 11:04:00,434.72,short,negative,0.2455311044310317,64.0,max_holding_period,Morning,Wednesday,1.0699999999999932,0.8705100000000001,0.19948999999999306,0.04577663553546274
MSFT,2025-05-07 11:11:00,434.4,2025-05-07 12:12:00,434.16,short,negative,0.0552486187845194,61.0,max_holding_period,Morning,Wednesday,0.23999999999995225,0.86856,-0.6285600000000477,-0.1446961325966961
MSFT,2025-05-08 11:03:00,437.5,2025-05-08 12:03:00,436.71,long,positive,-0.18057142857143327,60.0,max_holding_period,Morning,Thursday,-0.7900000000000205,0.8742099999999999,-1.6642100000000204,-0.3803908571428618
MSFT,2025-05-08 14:02:00,436.53,2025-05-08 15:02:00,436.29,long,positive,-0.054979039241278324,60.0,max_holding_period,Afternoon,Thursday,-0.23999999999995225,0.8728199999999999,-1.1128199999999522,-0.25492406020203706
MSFT,2025-05-09 13:35:00,438.84,2025-05-09 14:35:00,439.46,long,positive,0.14128156047762386,60.0,max_holding_period,Midday,Friday,0.6200000000000045,0.8783,-0.2582999999999954,-0.058859721082853755
MSFT,2025-05-12 12:03:00,446.97,2025-05-12 13:03:00,448.0,short,negative,-0.23044052173523338,60.0,max_holding_period,Midday,Monday,-1.0299999999999727,0.89497,-1.9249699999999728,-0.4306709622569686
MSFT,2025-05-13 10:00:00,446.37,2025-05-13 11:00:00,446.75,long,positive,0.08513116920939925,60.0,max_holding_period,Morning,Tuesday,0.37999999999999545,0.89312,-0.5131200000000046,-0.11495396195981017
MSFT,2025-05-13 12:41:00,447.0,2025-05-13 13:34:00,447.55,long,positive,0.1230425055928437,53.0,conflict_flip,Midday,Tuesday,0.5500000000000114,0.89455,-0.3445499999999886,-0.07708053691274915
MSFT,2025-05-13 13:34:00,447.55,2025-05-13 14:34:00,448.59,short,negative,-0.23237627080772283,60.0,max_holding_period,Midday,Tuesday,-1.0399999999999636,0.8961399999999999,-1.9361399999999636,-0.43260864707853053
MSFT,2025-05-14 10:55:00,445.8,2025-05-14 11:59:00,445.5,short,negative,0.06729475100942381,64.0,max_holding_period,Morning,Wednesday,0.30000000000001137,0.8913,-0.5912999999999886,-0.13263795423956676
MSFT,2025-05-15 12:46:00,450.72,2025-05-15 13:51:00,450.75,short,negative,-0.006656017039397566,65.0,max_holding_period,Midday,Thursday,-0.029999999999972715,0.90147,-0.9314699999999727,-0.20666267305643696
MSFT,2025-05-16 11:34:00,452.61,2025-05-16 12:45:00,453.1,long,positive,0.10826097523254216,71.0,conflict_flip,Morning,Friday,0.4900000000000091,0.90571,-0.4157099999999909,-0.09184728574269038
MSFT,2025-05-16 12:45:00,453.1,2025-05-16 13:00:00,452.98,short,negative,0.0264842198190255,15.0,conflict_flip,Midday,Friday,0.12000000000000455,0.9060800000000001,-0.7860799999999956,-0.17348929596115548
MSFT,2025-05-16 13:00:00,452.98,2025-05-16 14:00:00,452.55,long,positive,-0.09492692834120862,60.0,max_holding_period,Midday,Friday,-0.4300000000000068,0.9055300000000001,-1.335530000000007,-0.2948320014128674
MSFT,2025-05-16 14:02:00,453.0948,2025-05-16 15:02:00,451.64,short,negative,0.32108070982055725,60.0,max_holding_period,Afternoon,Friday,1.4548000000000343,0.9047348,0.5500652000000343,0.1214017905303778
MSFT,2025-05-19 12:36:00,449.6,2025-05-19 13:36:00,449.85,short,negative,-0.05560498220640569,60.0,max_holding_period,Midday,Monday,-0.25,0.8994500000000001,-1.14945,-0.2556605871886121
MSFT,2025-05-19 14:02:00,450.9,2025-05-19 15:02:00,450.52,short,negative,0.08427589265912519,60.0,max_holding_period,Afternoon,Monday,0.37999999999999545,0.9014199999999999,-0.5214200000000044,-0.11563983144821569
MSFT,2025-05-20 15:06:00,457.67,2025-05-20 15:44:00,455.57,short,negative,0.4588458933292597,38.0,conflict_flip,Afternoon,Tuesday,2.1000000000000227,0.91324,1.1867600000000227,0.25930473922258895
MSFT,2025-05-20 15:46:00,455.745,2025-05-20 16:46:00,455.68,long,positive,-0.014262361627664094,60.0,max_holding_period,Afternoon,Tuesday,-0.06499999999999773,0.911425,-0.9764249999999978,-0.21424809926603644
MSFT,2025-05-22 11:22:00,452.66,2025-05-22 12:24:00,452.99,long,positive,0.07290239915167765,62.0,max_holding_period,Morning,Thursday,0.3299999999999841,0.9056500000000001,-0.575650000000016,-0.12717050324747403
MSFT,2025-05-22 12:56:00,452.99,2025-05-22 12:56:00,452.99,long,positive,0.0,0.0,conflict_flip,Midday,Thursday,0.0,0.90598,-0.90598,-0.2
MSFT,2025-05-22 12:56:00,452.99,2025-05-22 13:58:00,451.76,short,negative,0.2715291728294263,62.0,max_holding_period,Midday,Thursday,1.2300000000000182,0.9047499999999999,0.32525000000001825,0.07180070200225572
MSFT,2025-05-23 15:49:00,449.28,2025-05-23 16:49:00,450.875,short,negative,-0.35501246438747047,60.0,max_holding_period,Afternoon,Friday,-1.5950000000000273,0.900155,-2.495155000000027,-0.5553674768518579
MSFT,2025-05-27 10:00:00,453.3,2025-05-27 11:02:00,455.93,long,positive,0.5801897198323396,62.0,max_holding_period,Morning,Tuesday,2.6299999999999955,0.90923,1.7207699999999955,0.37960953011250725
MSFT,2025-05-29 12:05:00,460.15,2025-05-29 13:05:00,461.0,short,negative,-0.1847223731391987,60.0,max_holding_period,Midday,Thursday,-0.8500000000000227,0.92115,-1.7711500000000227,-0.3849070955123379
MSFT,2025-05-29 14:16:00,460.54,2025-05-29 15:16:00,461.64,long,positive,0.23885004559863768,60.0,max_holding_period,Afternoon,Thursday,1.099999999999966,0.92218,0.1778199999999659,0.03861119555303902
MSFT,2025-05-30 11:24:00,458.46,2025-05-30 12:31:00,458.62,long,positive,0.034899445971300666,67.0,max_holding_period,Morning,Friday,0.160000000000025,0.91708,-0.757079999999975,-0.16513545347467068
MSFT,2025-05-30 13:49:00,458.63,2025-05-30 14:21:00,458.05,short,negative,0.12646359810740337,32.0,conflict_flip,Midday,Friday,0.5799999999999841,0.9166799999999999,-0.33668000000001586,-0.07340993829448922
MSFT,2025-05-30 14:21:00,458.05,2025-05-30 15:14:00,458.65,long,positive,0.13099006658660975,53.0,conflict_flip,Afternoon,Friday,0.5999999999999659,0.9167000000000001,-0.3167000000000342,-0.06914092347997688
MSFT,2025-05-30 15:17:00,459.37,2025-05-30 16:17:00,459.53,short,negative,-0.034830311078208886,60.0,max_holding_period,Afternoon,Friday,-0.15999999999996817,0.9189,-1.0788999999999682,-0.23486514138928713
MSFT,2025-06-02 13:07:00,458.7,2025-06-02 14:07:00,459.15,short,negative,-0.09810333551340499,60.0,max_holding_period,Midday,Monday,-0.44999999999998863,0.91785,-1.3678499999999887,-0.2982014388489184
MSFT,2025-06-02 15:04:00,458.56,2025-06-02 16:04:00,459.32,long,positive,0.16573621772505034,60.0,max_holding_period,Afternoon,Monday,0.7599999999999909,0.91788,-0.15788000000000912,-0.0344295184926747
MSFT,2025-06-03 10:49:00,460.74,2025-06-03 11:56:00,460.3,short,negative,0.09549854581759729,67.0,max_holding_period,Morning,Tuesday,0.4399999999999977,0.9210400000000001,-0.48104000000000235,-0.10440595563658511
MSFT,2025-06-04 12:36:00,463.15,2025-06-04 13:45:00,462.97,short,negative,0.038864298823264594,69.0,max_holding_period,Midday,Wednesday,0.17999999999994998,0.92612,-0.7461200000000501,-0.16109683687791215
MSFT,2025-06-04 14:00:00,463.05,2025-06-04 15:04:00,462.84,short,negative,0.04535147392291035,64.0,max_holding_period,Afternoon,Wednesday,0.21000000000003638,0.92589,-0.7158899999999636,-0.15460317460316675
MSFT,2025-06-06 10:19:00,469.19,2025-06-06 12:01:00,469.37,short,negative,-0.03836398900232461,102.0,max_holding_period,Morning,Friday,-0.18000000000000682,0.9385600000000001,-1.1185600000000069,-0.23840235299132695
